ConstituentID,DisplayName,Nationality,Gender,BeginDate,EndDate,WikiQID,ULAN
1,Robert Arneson,"American, 1930–1992",American,M,1930,1992,,
2,Doroteo Arnaiz,"Spanish, born 1936",Spanish,M,1936,0,,
3,Bill Arnold,"American, born 1941",American,M,1941,0,,
4,Charles Arnoldi,"American, born 1946",American,M,1946,0,Q1063584,500027998
5,Per Arnoldi,"Danish, born 1941",Danish,M,1941,0,,
6,Danilo Aroldi,"Italian, born 1925",Italian,M,1925,0,,
7,Bill Aron,"American, born 1941",American,M,1941,0,,
9,David Aronson,"American, born Lithuania 1923",American,M,1923,0,Q5230870,500003363
10,Irene Aronson,"American, born Germany 1918",American,F,1918,0,Q19748568,500042413
11,Jean (Hans) Arp,"French, born Germany (Alsace). 1886–1966",French,M,1886,1966,Q153739,500031000
12,Jüri Arrak,"Estonian, born 1936",Estonian,M,1936,0,,
13,J. Arrelano Fischer,"Mexican, 1911–1995",Mexican,M,1911,1995,,
15,Folke Arstrom,"Swedish, 1907–1997",Swedish,M,1907,1997,,
16,Cristobal Arteche,"Spanish, 1900–1964",Spanish,M,1900,1964,,
19,Richard Artschwager,"American, 1923–2013",American,M,1923,2013,Q568262,500114981
21,Ruth Asawa,"American, 1926–2013",American,F,1926,2013,Q7382874,500077806
22,Isidora Aschheim,Israeli,Israeli,F,0,0,,
23,Charles Robert Ashbee,"British, 1863–1942",British,M,1863,1942,Q614071,500030367
24,Donald Ashcraft,"American, born 1927",American,M,1927,0,,
25,E. M. Ashe,"American, 1867–1941",American,M,1867,1941,,
27,Erik Gunnar Asplund,"Swedish, 1885–1940",Swedish,M,1885,1940,Q312070,500011232
28,Geneviève Asse,"French, born 1923",French,F,1923,0,Q1978192,500025324
30,Sergio Asti,"Italian, born 1926",Italian,M,1926,0,,
31,Dana Atchley,"American, 1941–2000",American,F,1941,2000,,
34,Alvar Aalto,"Finnish, 1898–1976",Finnish,M,1898,1976,Q82840,500002617
35,Aino Aalto,"Finnish, 1894–1949",Finnish,F,1894,1949,Q273511,500024110
36,Eero Aarnio,"Finnish, born 1932",Finnish,M,1932,0,Q707025,500270610
37,Jules Aarons,"American, 1921–2008",American,M,1921,2008,,
38,Magdalena Abakanowicz,"Polish, 1930–2017",Polish,F,1930,2017,Q158080,500084577
39,James Abbe,"American, 1883–1973",American,M,1883,1973,Q321301,500026671
40,Jussuf Abbo,"Palestinian, 1888–1953",Palestinian,M,1888,1953,,
41,Berenice Abbott,"American, 1898–1991",American,F,1898,1991,Q231861,500020631
42,Nobuya Abe,"Japanese, 1913–1971",Japanese,M,1913,1971,,
43,Abe Shiro (pen Name: Suichiku),"Japanese, born 1900",Japanese,M,1900,0,,
44,Robert Abel,"American, born 1937",American,M,1937,0,Q7341326,
46,Sigmund Abeles,"American, born 1934",American,M,1934,0,,
47,Raimund Abraham,"American, born Austria. 1933–2010",American,M,1933,2010,Q78819,500031964
49,Ivor Abrahams,"British, born 1935",British,M,1935,0,Q11714362,500012378
50,Gerald Abramovitz,"British, born South Africa. 1928–2011",British,M,1928,2011,,
51,William Ross Abrams,"American, 1920–2007",American,M,1920,2007,,
52,Rodolfo Abularach,"Guatemalan, born 1933",Guatemalan,M,1933,0,Q7357131,500118427
53,Vito Acconci,"American, 1940–2017",American,M,1940,2017,Q433471,500014538
54,Milton Ackoff,"American, born 1915",American,M,1915,0,,
55,Norman Ackroyd,British,British,M,0,0,Q7051892,500029028
56,Luis Alberto Acuña,"Colombian, 1904–1994",Colombian,M,1904,1994,,
57,Henri Georges Adam,"French, 1904–1967",French,M,1904,1967,Q662900,500020748
58,Antoine Samuel Adam-Salomon,"French, 1818–1881",French,M,1818,1881,,
59,Valerio Adami,"Italian, born 1935",Italian,M,1935,0,Q562139,500013534
