Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
Woman Twirling,Jo Ann Callis,928,"(American, born 1940)",(American),(1940),(0),(Female),1985,Silver dye bleach print,"29 1/4 × 36 7/16"" (74.3 × 92.6 cm)",The Fellows of Photography Fund,1.1992,Photograph,Photography,1992-01-09,Y,43871,http://www.moma.org/collection/works/43871,http://www.moma.org/media/W1siZiIsIjk3MDQ4Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=c973a2fff544676b,,,,74.3,,,92.6,,
Dusk,Peter Campus,944,"(American, born 1937)",(American),(1937),(0),(Male),1991,Digital photograph; gelatin silver print,"18 11/16 × 22 13/16"" (47.5 × 58 cm)",Purchase,2.1992,Photograph,Photography,1992-01-09,N,43880,,,,,,47.5,,,58.0,,
Rupture,Peter Campus,944,"(American, born 1937)",(American),(1937),(0),(Male),1991,Digital photograph; gelatin silver print,"18 1/2 × 22 15/16"" (47 × 58.3 cm)",Purchase,3.1992,Photograph,Photography,1992-01-09,N,43889,,,,,,47.0,,,58.3,,
Covered Wagons,James Casebere,6895,"(American, born 1953)",(American),(1953),(0),(Male),1985,Gelatin silver print,"29 1/2 × 22 3/4"" (75 × 57.8 cm)",Purchase,4.1992,Photograph,Photography,1992-01-09,Y,43898,http://www.moma.org/collection/works/43898,http://www.moma.org/media/W1siZiIsIjEzNTQxNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=1ba7acf1f66f051b,,,,75.0,,,57.8,,
Cornelius and Cybel Castoriadis,Mariana Cook,6897,"(American, born 1955)",(American),(1955),(0),(Female),1991,Gelatin silver print,"18 1/4 × 15 7/16"" (46.3 × 39.2 cm)",Gift of the artist,7.1992,Photograph,Photography,1992-01-09,Y,43925,http://www.moma.org/collection/works/43925,http://www.moma.org/media/W1siZiIsIjIzOTQ5NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=ec567662608fca7d,,,,46.3,,,39.2,,
Hands Holding Feet,John Coplans,1237,"(British, 1920–2003)",(British),(1920),(2003),(Male),1985,Gelatin silver print,"21 7/16 × 25 1/4"" (54.5 × 64.1 cm)",Gift of Francis M. Naumann,8.1992,Photograph,Photography,1992-01-09,Y,43934,http://www.moma.org/collection/works/43934,http://www.moma.org/media/W1siZiIsIjI1NDEwMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=db5f3f40a304c9c5,,,,54.5,,,64.1,,
Untitled,Geoffrey Biddle,7652,"(American, born 1950)",(American),(1950),(0),(Male),1988,Gelatin silver print,"12 3/16 × 18 1/16"" (30.9 × 45.9 cm)",Gift of the artist,10.1994,Photograph,Photography,1994-01-13,N,43953,,,,,,30.9,,,45.9,,
"Amateur Fighter with Towel, Atlantic City, New Jersey",Ken Graves,2307,"(American, born 1942)",(American),(1942),(0),(Male),1989,Gelatin silver print,"13 3/4 × 16 7/8"" (35 × 42.9 cm)",The Family of Man Fund,12.1992,Photograph,Photography,1992-01-09,N,43969,,,,,,35.0,,,42.9,,
"Punching Bags, Gleason's Gym, Brooklyn, New York",Ken Graves,2307,"(American, born 1942)",(American),(1942),(0),(Male),1990,Gelatin silver print,"13 3/4 × 16 13/16"" (34.9 × 42.7 cm)",Gift of the artist,13.1992,Photograph,Photography,1992-01-09,N,43978,,,,,,34.9,,,42.7,,
"Ringside, Professional Fighters, Atlantic City, New Jersey",Ken Graves,2307,"(American, born 1942)",(American),(1942),(0),(Male),1989,Gelatin silver print,"13 3/4 × 16 3/4"" (35 × 42.5 cm)",The Family of Man Fund,14.1992,Photograph,Photography,1992-01-09,N,43989,,,,,,35.0,,,42.5,,
