,index,Gender
0,"M, M",161
1,"M, missing",79
2,"F, M",55
3,"M, F",47
4,"missing, M",44
5,"M, M, M",28
6,"F, F",27
7,"missing, missing",18
8,"F, missing",17
9,"M, M, missing",16
10,"missing, M, F",11
11,"missing, M, M",9
12,"M, M, F",8
13,"missing, missing, missing",8
14,"M, missing, missing",8
15,"M, F, M",8
16,"M, missing, missing, missing",8
17,"missing, F, M",7
18,"missing, F",6
19,"missing, M, M, M",5
20,"F, missing, missing",4
21,"M, M, M, M",4
22,"missing, F, F",4
23,NB,3
24,"missing, missing, M",3
25,"M, M, M, missing",3
26,"missing, M, missing",3
27,"missing, M, M, missing",3
28,"missing, M, F, M, M, M",2
29,"M, F, missing",2
30,"missing, M, F, missing",2
31,"missing, M, F, M, F, M",2
32,"M, missing, M, missing",2
33,"missing, missing, missing, missing, missing, missing, missing, missing, missing, M",2
34,"M, M, F, M, missing",2
35,"M, M, M, M, missing",2
36,"M, missing, M",2
37,"M, F, missing, M",2
38,"F, M, missing",2
39,"M, M, F, F",2
40,"M, F, F, M, missing",2
41,"F, M, M, M, M, missing",2
42,"missing, M, M, M, M, M",2
43,"missing, F, M, M, F, M",2
44,"M, M, M, M, missing, missing, missing",1
45,"missing, missing, M, missing",1
46,"M, M, M, F, missing",1
47,"M, M, M, F",1
48,"F, M, M, M",1
49,"M, M, M, M, M, M, M, missing",1
50,"F, M, missing, missing",1
51,"missing, F, F, M, F, F, F, F, M, M, F, M",1
52,"M, F, M, missing",1
53,"M, M, M, M, M, M, M, M, M, F, missing, F, M, M, M, M, M, M, missing",1
54,"missing, missing, M, M, M, M, missing, missing, missing, missing, missing, missing",1
55,"missing, missing, M, M, M, M",1
56,"M, missing, missing, missing, missing",1
57,"missing, missing, F, missing, missing, M, F, missing, M, missing, M, missing",1
58,"M, missing, missing, missing, M",1
59,"F, F, F",1
60,"M, M, M, M, M",1
61,"F, M, M, missing, M, M, M, missing, F, M, missing, missing, F, M, M",1
62,"missing, M, M, M, M",1
63,"missing, missing, M, F, F, M, F",1
64,"missing, F, M, F, M, F, M",1
65,"missing, M, M, F, M, M, F",1
66,"missing, M, M, missing, M, F, F",1
67,"missing, F, M, M, F, F, M",1
68,"M, M, M, M, M, missing",1
69,"missing, F, M, F, M, M, F, M",1
70,"missing, M, M, M, M, F, M, F, M",1
71,"M, F, M, F",1
72,"F, M, M",1
73,"F, M, M, M, M, F, missing, M",1
74,"missing, M, F, F, F, M, F, missing, M, M, F",1
75,"missing, M, F, M, M",1
76,"M, M, missing, missing, M, missing, missing, missing",1
77,"missing, F, M, F",1
78,"missing, F, F, missing, M",1
79,"missing, M, M, F, F",1
80,"missing, F, missing, missing",1
81,"F, missing, missing, missing",1
82,"missing, F, F, M, M, M, M, M, M, F, M, M, M, missing, M, M, M, F, M, M, M, F",1
83,"missing, M, missing, missing, M, missing, M, missing, M, F, missing, M, missing, F, missing, missing, F, M",1
84,"missing, missing, missing, missing, missing, missing, M",1
85,"missing, M, M, F, M",1
86,"M, missing, M, missing, M, missing, missing, missing",1
87,"missing, missing, missing, missing, missing, missing, missing, missing, missing, missing, missing, missing, missing, missing, missing, missing, missing, missing, missing, missing, missing, M",1
88,"missing, M, M, M, F",1
89,"F, M, M, F, missing, missing",1
90,"missing, F, M, M, F",1
91,"M, M, M, M, M, F, F, M, M, M, M",1
92,"M, F, M, M, M, F, M",1
93,"M, F, M, M",1
94,"F, M, F, M, M",1
95,"F, M, F, M, M, M",1
96,"F, F, M",1
97,"missing, F, M, F, F, F, M, M, M, F",1
98,"missing, M, M, F",1
99,"missing, M, F, missing, M, M",1
100,"M, M, M, M, M, M, M, M, M, M, M, M, M, M, M, F, M",1
101,"M, M, F, M, M, M, M, F, M, M, missing, M, M, M, missing",1
102,"M, F, M, F, M, missing",1
103,"M, M, M, F, M, missing",1
104,"M, F, M, M, missing",1
105,"M, F, M, M, M, missing",1
106,"missing, missing, M, M",1
107,"missing, missing, missing, missing, missing",1
108,"missing, missing, F, M, M, missing",1
109,"M, M, F, M",1
110,"F, M, missing, M, missing",1
111,"F, M, M, M, missing",1
112,"missing, missing, missing, missing",1
113,"missing, missing, missing, missing, missing, missing",1
114,"M, F, missing, missing",1
115,"F, F, F, missing",1
116,"missing, F, M, F, M, M, M, M",1
117,"M, missing, missing, missing, missing, missing, M, missing, missing, missing",1
118,"missing, M, F, M, M, M, M, F, M, M, F",1
119,"M, missing, M, M, F, missing",1
120,"missing, M, M, missing, F, M",1
121,"M, missing, F, M, missing, missing",1
122,"M, M, M, missing, F, missing",1
123,"M, M, F, M, M, missing",1
124,"F, M, M, missing",1
125,"missing, M, F, M, M, F",1
126,"M, F, M, M, M, M, M, F, F, F, M, missing",1
127,"missing, F, M, M, M, M, F, M, M",1
128,"F, M, M, F, M, missing",1
129,"M, F, M, F, missing",1
130,"M, M, M, M, M, M",1
131,"F, F, M, F, missing",1
132,"missing, M, M, M, missing, F, missing, missing, missing",1
133,"F, missing, M, M, M, M, M, missing, M, M, M, F",1
134,"missing, missing, F, F, F, F",1
135,"missing, M, F, F, missing, M, M, M, missing, missing, missing, missing, missing, missing, missing, missing, missing",1
136,"missing, M, M, M, M, missing, M, F, M, M, F, M, M, M, M, M, M, M, F, M, M, M, M",1
137,"M, F, F, F",1
138,"M, missing, F",1
139,"M, M, M, F, missing, M",1
140,"F, F, M, F, M",1
141,"missing, F, F, M, M, M",1
142,"missing, F, F, F, F, F, F, F, F, F, F, F, F, F, F, F, F, F, F, F, F",1
143,"M, missing, missing, M, missing",1
144,"missing, F, F, M, M",1
145,"M, M, missing, missing, M",1
146,"missing, F, F, F, F, M",1
147,"M, M, M, F, M, M, M, F, M, F, M, M, M, M, missing",1
148,"missing, M, NB, F, F, F",1
149,"F, M, F",1
150,"F, M, F, M, M, missing, missing",1
151,"M, F, F",1
152,"missing, M, M, M, M, M, M, M, M, M, F",1
153,"M, M, F, M, missing, missing",1
154,"F, missing, M",1
155,"missing, missing, missing, missing, M, missing, missing",1
156,"missing, F, M, M, M, M, missing, M, missing, missing",1
157,"M, M, missing, missing",1
158,"F, F, M, M, F, missing",1
159,"missing, M, F, M, M, M, F, F, F, M",1
160,"F, M, F, M, missing",1
161,"missing, M, M, F, F, F, F",1
