,Title,Artist,dateCreated,Department,dateAcquired,URL,Gender,Nationality,Nation,country_code,Divide,Region,Source
10487,"I Want to Spend the Rest of My Life Everywhere, with Everyone, One to One, Always, Forever, Now",Damien Hirst,1998,Still Images,2000,http://www.moma.org/collection/works/11571,M,British,United Kingdom,GBR,Global North,Europe,MoMA (sampled)
11569,Invisible Cities,Wayne Thiebaud,1999,Still Images,2000,http://www.moma.org/collection/works/12664,M,American,United States,USA,Global North,North America,MoMA (sampled)
11608,"Untitled, 1996 (tomorrow is another day)",Rirkrit Tiravanija,1998,Still Images,2000,http://www.moma.org/collection/works/12703,M,Thai,Thailand,THA,Global South,Asia & Pacific,MoMA (sampled)
25655,Composition (photogram) for flyleaf,Varvara Rodchenko,1985,Still Images,2001,,F,Russian,Russia,RUS,missing,missing,MoMA (sampled)
25792,Untitled (photogram),Varvara Rodchenko,1985,Still Images,2001,,F,Russian,Russia,RUS,missing,missing,MoMA (sampled)
26420,Stikhi raznykh let. Iz neizdannogo,Varvara Rodchenko,1988,Still Images,2001,,F,Russian,Russia,RUS,missing,missing,MoMA (sampled)
30745,Peter Halley: Maintain Speed,Peter Halley,2000,Still Images,2001,http://www.moma.org/collection/works/32054,M,American,United States,USA,Global North,North America,MoMA (sampled)
30746,"Robert Mangold, Prints 1968–1998",Robert Mangold,2000,Still Images,2001,http://www.moma.org/collection/works/32055,M,American,United States,USA,Global North,North America,MoMA (sampled)
30747,Parkett no. 57,"Doug Aitken, Nan Goldin, Thomas Hirschhorn, Louise Bourgeois, Various Artists",1999,Still Images,2001,http://www.moma.org/collection/works/32056,"M, F, M, F, missing","American, American, Swiss, American, missing",missing,missing,missing,missing,MoMA (sampled)
30748,Parkett no. 58,"Sylvie Fleury, Jason Rhoades, James Rosenquist, Henry Bond, Dave Eggers, Various Artists",1999,Still Images,2001,http://www.moma.org/collection/works/32057,"F, M, M, M, M, missing","Swiss, American, American, British, missing, missing",missing,missing,missing,missing,MoMA (sampled)
30749,Parkett no. 59,"Maurizio Cattelan, Yayoi Kusama, Kara Walker, Dave Eggers, Various Artists",2000,Still Images,2001,http://www.moma.org/collection/works/32058,"M, F, F, M, missing","Italian, Japanese, American, missing, missing",missing,missing,missing,missing,MoMA (sampled)
30750,Parkett no. 60,"Diana Thater, Luc Tuymans, Chuck Close, Shirana Shahbazi, Dave Eggers, Various Artists",2000,Still Images,2001,http://www.moma.org/collection/works/32059,"F, M, M, F, M, missing","American, Belgian, American, German, missing, missing",missing,missing,missing,missing,MoMA (sampled)
30882,Cremaster 2,Matthew Barney,1999,Still Images,2000,http://www.moma.org/collection/works/32191,M,American,United States,USA,Global North,North America,MoMA (sampled)
30883,Jorge Pardo,Jorge Pardo,1997,Still Images,2000,http://www.moma.org/collection/works/32192,M,American,United States,USA,Global North,North America,MoMA (sampled)
30884,Jorge Pardo,Jorge Pardo,1997,Still Images,2000,,M,American,United States,USA,Global North,North America,MoMA (sampled)
30885,Jorge Pardo,Jorge Pardo,1999,Still Images,2000,http://www.moma.org/collection/works/32194,M,American,United States,USA,Global North,North America,MoMA (sampled)
30886,Cane,Martin Puryear,2000,Still Images,2000,http://www.moma.org/collection/works/32195,M,American,United States,USA,Global North,North America,MoMA (sampled)
30887,"TRANS>ARTS.CULTURES.MEDIA, VOL. 6","Jorge Pardo, Various Artists",1999,Still Images,2000,,"M, missing","American, missing",missing,missing,missing,missing,MoMA (sampled)
30977,Diamond Sea,Doug Aitken,1998,Still Images,2001,,M,American,United States,USA,Global North,North America,MoMA (sampled)
30978,The Missing Voice (case study b),Janet Cardiff,1999,Still Images,2001,,F,Canadian,Canada,CAN,Global North,North America,MoMA (sampled)
30979,Exploration of the Soul,Tracey Emin,1994,Still Images,2001,,F,British,United Kingdom,GBR,Global North,Europe,MoMA (sampled)
30983,Snowblind,Damien Hirst,1998,Still Images,2001,,M,British,United Kingdom,GBR,Global North,Europe,MoMA (sampled)
30986,DOBSF,Takashi Murakami,1999,Still Images,2001,,M,Japanese,Japan,JPN,Global North,Asia & Pacific,MoMA (sampled)
30987,Dodgers,Jorge Pardo,1995,Still Images,2001,,M,American,United States,USA,Global North,North America,MoMA (sampled)
30988,Dodgers,Jorge Pardo,1995,Still Images,2001,,M,American,United States,USA,Global North,North America,MoMA (sampled)
30989,Dodgers,Jorge Pardo,1995,Still Images,2001,,M,American,United States,USA,Global North,North America,MoMA (sampled)
30990,Untitled,Jorge Pardo,1999,Still Images,2001,,M,American,United States,USA,Global North,North America,MoMA (sampled)
31008,Perfect World,Jason Rhoades,2000,Still Images,2001,,M,American,United States,USA,Global North,North America,MoMA (sampled)
31012,Hell Yes!,Ugo Rondinone,2000,Still Images,2001,,M,Swiss,Switzerland,CHE,Global North,Europe,MoMA (sampled)
31013,Guided by Voices,Ugo Rondinone,1999,Still Images,2001,,M,Swiss,Switzerland,CHE,Global North,Europe,MoMA (sampled)
31017,Phrase Book,Fred Tomaselli,2000,Still Images,2001,,M,American,United States,USA,Global North,North America,MoMA (sampled)
31018,White Snails,Richard Tuttle,1999,Still Images,2001,,M,American,United States,USA,Global North,North America,MoMA (sampled)
32414,Untitled,Carroll Dunham,1998,Still Images,2000,http://www.moma.org/collection/works/33970,M,American,United States,USA,Global North,North America,MoMA (sampled)
32468,"Proposal for Anchorange Historical and Fine Arts Museum, Anchorage, Alaska",Robert Morris,1983,Still Images,2000,http://www.moma.org/collection/works/34036,M,American,United States,USA,Global North,North America,MoMA (sampled)
