Title;Artist;dateCreated;Department;dateAcquired;URL;Gender;Nationality;Nation;country_code;Divide;Region;Source
I Want to Spend the Rest of My Life Everywhere, with Everyone, One to One, Always, Forever, Now;Damien Hirst;1998;Still Images;2000;http://www.moma.org/collection/works/11571;M;British;United Kingdom;GBR;Global North;Europe;MoMA (sampled)
Invisible Cities;Wayne Thiebaud;1999;Still Images;2000;http://www.moma.org/collection/works/12664;M;American;United States;USA;Global North;North America;MoMA (sampled)
Untitled, 1996 (tomorrow is another day);Rirkrit Tiravanija;1998;Still Images;2000;http://www.moma.org/collection/works/12703;M;Thai;Thailand;THA;Global South;Asia & Pacific;MoMA (sampled)
Composition (photogram) for flyleaf;Varvara Rodchenko;1985;Still Images;2001;;F;Russian;Russia;RUS;Global North;Europe;MoMA (sampled)
Untitled (photogram);Varvara Rodchenko;1985;Still Images;2001;;F;Russian;Russia;RUS;Global North;Europe;MoMA (sampled)
Stikhi raznykh let. Iz neizdannogo;Varvara Rodchenko;1988;Still Images;2001;;F;Russian;Russia;RUS;Global North;Europe;MoMA (sampled)
Peter Halley: Maintain Speed;Peter Halley;2000;Still Images;2001;http://www.moma.org/collection/works/32054;M;American;United States;USA;Global North;North America;MoMA (sampled)
Robert Mangold, Prints 1968–1998;Robert Mangold;2000;Still Images;2001;http://www.moma.org/collection/works/32055;M;American;United States;USA;Global North;North America;MoMA (sampled)
Parkett no. 57;Doug Aitken, Nan Goldin, Thomas Hirschhorn, Louise Bourgeois, Various Artists;1999;Still Images;2001;http://www.moma.org/collection/works/32056;M, F, M, F, missing;American, American, Swiss, American, missing;United States;USA;Global North;North America;MoMA (sampled)
Parkett no. 58;Sylvie Fleury, Jason Rhoades, James Rosenquist, Henry Bond, Dave Eggers, Various Artists;1999;Still Images;2001;http://www.moma.org/collection/works/32057;F, M, M, M, M, missing;Swiss, American, American, British, missing, missing;Switzerland;CHE;Global North;Europe;MoMA (sampled)
Parkett no. 59;Maurizio Cattelan, Yayoi Kusama, Kara Walker, Dave Eggers, Various Artists;2000;Still Images;2001;http://www.moma.org/collection/works/32058;M, F, F, M, missing;Italian, Japanese, American, missing, missing;Italy;ITA;Global North;Europe;MoMA (sampled)
Parkett no. 60;Diana Thater, Luc Tuymans, Chuck Close, Shirana Shahbazi, Dave Eggers, Various Artists;2000;Still Images;2001;http://www.moma.org/collection/works/32059;F, M, M, F, M, missing;American, Belgian, American, German, missing, missing;United States;USA;Global North;North America;MoMA (sampled)
Cremaster 2;Matthew Barney;1999;Still Images;2000;http://www.moma.org/collection/works/32191;M;American;United States;USA;Global North;North America;MoMA (sampled)
Jorge Pardo;Jorge Pardo;1997;Still Images;2000;http://www.moma.org/collection/works/32192;M;American;United States;USA;Global North;North America;MoMA (sampled)
Jorge Pardo;Jorge Pardo;1997;Still Images;2000;;M;American;United States;USA;Global North;North America;MoMA (sampled)
Jorge Pardo;Jorge Pardo;1999;Still Images;2000;http://www.moma.org/collection/works/32194;M;American;United States;USA;Global North;North America;MoMA (sampled)
Cane;Martin Puryear;2000;Still Images;2000;http://www.moma.org/collection/works/32195;M;American;United States;USA;Global North;North America;MoMA (sampled)
TRANS>ARTS.CULTURES.MEDIA, VOL. 6;Jorge Pardo, Various Artists;1999;Still Images;2000;;M, missing;American, missing;United States;USA;Global North;North America;MoMA (sampled)
Diamond Sea;Doug Aitken;1998;Still Images;2001;;M;American;United States;USA;Global North;North America;MoMA (sampled)
The Missing Voice (case study b);Janet Cardiff;1999;Still Images;2001;;F;Canadian;Canada;CAN;Global North;North America;MoMA (sampled)
Exploration of the Soul;Tracey Emin;1994;Still Images;2001;;F;British;United Kingdom;GBR;Global North;Europe;MoMA (sampled)
Snowblind;Damien Hirst;1998;Still Images;2001;;M;British;United Kingdom;GBR;Global North;Europe;MoMA (sampled)
DOBSF;Takashi Murakami;1999;Still Images;2001;;M;Japanese;Japan;JPN;Global North;Asia & Pacific;MoMA (sampled)
Dodgers;Jorge Pardo;1995;Still Images;2001;;M;American;United States;USA;Global North;North America;MoMA (sampled)
Dodgers;Jorge Pardo;1995;Still Images;2001;;M;American;United States;USA;Global North;North America;MoMA (sampled)
Dodgers;Jorge Pardo;1995;Still Images;2001;;M;American;United States;USA;Global North;North America;MoMA (sampled)
Untitled;Jorge Pardo;1999;Still Images;2001;;M;American;United States;USA;Global North;North America;MoMA (sampled)
Perfect World;Jason Rhoades;2000;Still Images;2001;;M;American;United States;USA;Global North;North America;MoMA (sampled)
Hell Yes!;Ugo Rondinone;2000;Still Images;2001;;M;Swiss;Switzerland;CHE;Global North;Europe;MoMA (sampled)
Guided by Voices;Ugo Rondinone;1999;Still Images;2001;;M;Swiss;Switzerland;CHE;Global North;Europe;MoMA (sampled)
Phrase Book;Fred Tomaselli;2000;Still Images;2001;;M;American;United States;USA;Global North;North America;MoMA (sampled)
White Snails;Richard Tuttle;1999;Still Images;2001;;M;American;United States;USA;Global North;North America;MoMA (sampled)
Untitled;Carroll Dunham;1998;Still Images;2000;http://www.moma.org/collection/works/33970;M;American;United States;USA;Global North;North America;MoMA (sampled)
Proposal for Anchorange Historical and Fine Arts Museum, Anchorage, Alaska;Robert Morris;1983;Still Images;2000;http://www.moma.org/collection/works/34036;M;American;United States;USA;Global North;North America;MoMA (sampled)
"The ""E"" Drawing";Edward Ruscha;1993;Still Images;2000;http://www.moma.org/collection/works/34100;M;American;United States;USA;Global North;North America;MoMA (sampled)
Hollywood is a Verb;Edward Ruscha;1983;Still Images;2000;http://www.moma.org/collection/works/34112;M;American;United States;USA;Global North;North America;MoMA (sampled)
Standard Collage;Edward Ruscha;1989;Still Images;2000;http://www.moma.org/collection/works/34166;M;American;United States;USA;Global North;North America;MoMA (sampled)
House - South Rotation Red: 1 East;Kevin Appel;2000;Still Images;2000;http://www.moma.org/collection/works/35474;M;American;United States;USA;Global North;North America;MoMA (sampled)
House - South Rotation: 2 Northeast;Kevin Appel;2000;Still Images;2000;http://www.moma.org/collection/works/35475;M;American;United States;USA;Global North;North America;MoMA (sampled)
House - South Rotation: 3 Northwest;Kevin Appel;2000;Still Images;2000;http://www.moma.org/collection/works/35476;M;American;United States;USA;Global North;North America;MoMA (sampled)
House - South Rotation Red: 4 West;Kevin Appel;2000;Still Images;2000;http://www.moma.org/collection/works/35477;M;American;United States;USA;Global North;North America;MoMA (sampled)
No Title (Dumped in Arizona...);Raymond Pettibon;1984;Still Images;2000;http://www.moma.org/collection/works/35558;M;American;United States;USA;Global North;North America;MoMA (sampled)
No Title (Don't complicate...);Raymond Pettibon;1987;Still Images;2000;http://www.moma.org/collection/works/35564;M;American;United States;USA;Global North;North America;MoMA (sampled)
No Title (With his unshrinking...);Raymond Pettibon;1987;Still Images;2000;http://www.moma.org/collection/works/35571;M;American;United States;USA;Global North;North America;MoMA (sampled)
No Title (Not a single armorer...);Raymond Pettibon;1990;Still Images;2000;http://www.moma.org/collection/works/35583;M;American;United States;USA;Global North;North America;MoMA (sampled)
No Title (I'm longing for it);Raymond Pettibon;1997;Still Images;2000;http://www.moma.org/collection/works/35589;M;American;United States;USA;Global North;North America;MoMA (sampled)
No Title (In the midsts...);Raymond Pettibon;1993;Still Images;2000;http://www.moma.org/collection/works/35598;M;American;United States;USA;Global North;North America;MoMA (sampled)
Functionally Fixed and Functionally Unfixed Panels;Andrea Zittel;1998;Still Images;2000;http://www.moma.org/collection/works/36044;F;American;United States;USA;Global North;North America;MoMA (sampled)
Self-Portrait;Chuck Close;1997;Still Images;2000;http://www.moma.org/collection/works/36049;M;American;United States;USA;Global North;North America;MoMA (sampled)
Magdalena;Marlene Dumas;1996;Still Images;2000;http://www.moma.org/collection/works/36055;F;South African;South Africa;ZAF;Global South;Africa;MoMA (sampled)
Skinatural;Ellen Gallagher;1997;Still Images;2000;http://www.moma.org/collection/works/36063;F;American;United States;USA;Global North;North America;MoMA (sampled)
Untitled;Wolfgang Laib;1983;Still Images;2000;http://www.moma.org/collection/works/36068;M;German;Germany;DEU;Global North;Europe;MoMA (sampled)
Untitled (There is a consciousness we all have...);Glenn Ligon;1988;Still Images;2000;http://www.moma.org/collection/works/36074;M;American;United States;USA;Global North;North America;MoMA (sampled)
Moulting;Miroslaw Balka;1988;Still Images;2001;http://www.moma.org/collection/works/38459;M;Polish;Poland;POL;Global North;Europe;MoMA (sampled)
Figure/Ladder Series, IV;Betty Goodwin;1996;Still Images;2001;http://www.moma.org/collection/works/38465;F;Canadian;Canada;CAN;Global North;North America;MoMA (sampled)
Untitled (Sculpture);Luc Tuymans;2000;Still Images;2001;http://www.moma.org/collection/works/38540;M;Belgian;Belgium;BEL;Global North;Europe;MoMA (sampled)
Untitled;Ellen Gallagher;2000;Still Images;2000;http://www.moma.org/collection/works/38703;F;American;United States;USA;Global North;North America;MoMA (sampled)
Proyecto de Acumulacion de Materiales (Project of Accumulation of Materials);Los Carpinteros, Alexandre Arrechea, Dagoberto Rodriguez, Marco Castillo;1999;Still Images;2000;http://www.moma.org/collection/works/38705;missing, M, M, M;Cuban, Cuban, Cuban, Cuban;Cuba;CUB;Global South;South/Latin America;MoMA (sampled)
Untitled;John Morris;1993;Still Images;2000;http://www.moma.org/collection/works/38707;M;American;United States;USA;Global North;North America;MoMA (sampled)
Untitled;John Morris;1992;Still Images;2000;http://www.moma.org/collection/works/38708;M;American;United States;USA;Global North;North America;MoMA (sampled)
Untitled;John Morris;1992;Still Images;2000;http://www.moma.org/collection/works/38709;M;American;United States;USA;Global North;North America;MoMA (sampled)
Untitled (Facing Balconies);Juan Muñoz;1984;Still Images;2000;http://www.moma.org/collection/works/38710;M;Spanish;Spain;ESP;Global North;Europe;MoMA (sampled)
Untitled (Balcony with heavy black vertical line);Juan Muñoz;1984;Still Images;2000;http://www.moma.org/collection/works/38711;M;Spanish;Spain;ESP;Global North;Europe;MoMA (sampled)
Untitled (Balcony with Awning and Sketch below);Juan Muñoz;1984;Still Images;2000;http://www.moma.org/collection/works/38712;M;Spanish;Spain;ESP;Global North;Europe;MoMA (sampled)
Untitled (3 Balconies with Time);Juan Muñoz;1984;Still Images;2000;http://www.moma.org/collection/works/38713;M;Spanish;Spain;ESP;Global North;Europe;MoMA (sampled)
Liam;Elizabeth Peyton;1996;Still Images;2000;http://www.moma.org/collection/works/38714;F;American;United States;USA;Global North;North America;MoMA (sampled)
John 1971;Elizabeth Peyton;1997;Still Images;2000;http://www.moma.org/collection/works/38715;F;American;United States;USA;Global North;North America;MoMA (sampled)
Matthew Smoking;Elizabeth Peyton;1997;Still Images;2000;http://www.moma.org/collection/works/38716;F;American;United States;USA;Global North;North America;MoMA (sampled)
Daniel, Berlin;Elizabeth Peyton;1999;Still Images;2000;http://www.moma.org/collection/works/38717;F;American;United States;USA;Global North;North America;MoMA (sampled)
Spencer;Elizabeth Peyton;1999;Still Images;2000;http://www.moma.org/collection/works/38718;F;American;United States;USA;Global North;North America;MoMA (sampled)
Anniversary;José Toirac;1999;Still Images;2000;http://www.moma.org/collection/works/38719;M;Cuban;Cuba;CUB;Global South;South/Latin America;MoMA (sampled)
Drawing for Water Tower, I;Rachel Whiteread;1997;Still Images;2000;http://www.moma.org/collection/works/38720;F;British;United Kingdom;GBR;Global North;Europe;MoMA (sampled)
Drawing for Water Tower, II;Rachel Whiteread;1997;Still Images;2000;http://www.moma.org/collection/works/38721;F;British;United Kingdom;GBR;Global North;Europe;MoMA (sampled)
Drawing for Water Tower, III;Rachel Whiteread;1997;Still Images;2000;http://www.moma.org/collection/works/38722;F;British;United Kingdom;GBR;Global North;Europe;MoMA (sampled)
Drawing for Water Tower, IV;Rachel Whiteread;1997;Still Images;2000;http://www.moma.org/collection/works/38723;F;British;United Kingdom;GBR;Global North;Europe;MoMA (sampled)
Drawing for Water Tower, V;Rachel Whiteread;1997;Still Images;2000;http://www.moma.org/collection/works/38724;F;British;United Kingdom;GBR;Global North;Europe;MoMA (sampled)
Drawing for Water Tower, VI;Rachel Whiteread;1997;Still Images;2000;http://www.moma.org/collection/works/38725;F;British;United Kingdom;GBR;Global North;Europe;MoMA (sampled)
Drawing for Water Tower, VII;Rachel Whiteread;1997;Still Images;2000;http://www.moma.org/collection/works/38726;F;British;United Kingdom;GBR;Global North;Europe;MoMA (sampled)
Drawing for Water Tower, VIII;Rachel Whiteread;1997;Still Images;2000;http://www.moma.org/collection/works/38727;F;British;United Kingdom;GBR;Global North;Europe;MoMA (sampled)
Study for Imperfect Painting;Roy Lichtenstein;1986;Still Images;2000;http://www.moma.org/collection/works/38729;M;American;United States;USA;Global North;North America;MoMA (sampled)
Study for Imperfect Painting;Roy Lichtenstein;1986;Still Images;2000;http://www.moma.org/collection/works/38730;M;American;United States;USA;Global North;North America;MoMA (sampled)
The Yellow Wall;Tina Barney;1997;Still Images;2000;http://www.moma.org/collection/works/48195;F;American;United States;USA;Global North;North America;MoMA (sampled)
Suburbia;Thomas Florschuetz;1996;Still Images;2000;http://www.moma.org/collection/works/48296;M;German;Germany;DEU;Global North;Europe;MoMA (sampled)
Diagonal;Thomas Florschuetz;1996;Still Images;2000;http://www.moma.org/collection/works/48344;M;German;Germany;DEU;Global North;Europe;MoMA (sampled)
Villa Wittgenstein, Vienna;Günther Förg;1986;Still Images;2000;http://www.moma.org/collection/works/48363;M;German;Germany;DEU;Global North;Europe;MoMA (sampled)
"Toys ""R"" Us";Andreas Gursky;1999;Still Images;2000;http://www.moma.org/collection/works/48381;M;German;Germany;DEU;Global North;Europe;MoMA (sampled)
Nude;Lee Friedlander;1988;Still Images;2000;;M;American;United States;USA;Global North;North America;MoMA (sampled)
Chippewa Falls, Wisconsin;Lee Friedlander;1986;Still Images;2000;;M;American;United States;USA;Global North;North America;MoMA (sampled)
Tucson;Lee Friedlander;1983;Still Images;2000;;M;American;United States;USA;Global North;North America;MoMA (sampled)
Cairo, Egypt;Lee Friedlander;1983;Still Images;2000;http://www.moma.org/collection/works/55164;M;American;United States;USA;Global North;North America;MoMA (sampled)
Yoshino, Japan;Lee Friedlander;1984;Still Images;2000;;M;American;United States;USA;Global North;North America;MoMA (sampled)
Japan;Lee Friedlander;1984;Still Images;2000;http://www.moma.org/collection/works/55258;M;American;United States;USA;Global North;North America;MoMA (sampled)
Kyoto, Japan;Lee Friedlander;1984;Still Images;2000;;M;American;United States;USA;Global North;North America;MoMA (sampled)
Kobe, Japan;Lee Friedlander;1984;Still Images;2000;;M;American;United States;USA;Global North;North America;MoMA (sampled)
Santa Barbara, California;Lee Friedlander;1984;Still Images;2000;;M;American;United States;USA;Global North;North America;MoMA (sampled)
Nude;Lee Friedlander;1984;Still Images;2000;;M;American;United States;USA;Global North;North America;MoMA (sampled)
Rochester;Lee Friedlander;1989;Still Images;2000;;M;American;United States;USA;Global North;North America;MoMA (sampled)
New York City;Lee Friedlander;1991;Still Images;2000;;M;American;United States;USA;Global North;North America;MoMA (sampled)
