person,personLabel,wikidata_item,gender,nationality,date_of_birth,image_artbase,image_wikidata
https://artbase.rhizome.org/entity/Q4977,Armin Medosch,http://www.wikidata.org/entity/Q688029,http://www.wikidata.org/entity/Q6581097,http://www.wikidata.org/entity/Q40,1962-09-16T00:00:00Z,,http://commons.wikimedia.org/wiki/Special:FilePath/Armin-medosch-cropped.jpg
https://artbase.rhizome.org/entity/Q447,Rafael Lozano-Hemmer,http://www.wikidata.org/entity/Q1872461,http://www.wikidata.org/entity/Q6581097,http://www.wikidata.org/entity/Q16,1967-11-17T00:00:00Z,,http://commons.wikimedia.org/wiki/Special:FilePath/Rafael%20Lozano-Hemmer.jpg
https://artbase.rhizome.org/entity/Q447,Rafael Lozano-Hemmer,http://www.wikidata.org/entity/Q1872461,http://www.wikidata.org/entity/Q6581097,http://www.wikidata.org/entity/Q96,1967-11-17T00:00:00Z,,http://commons.wikimedia.org/wiki/Special:FilePath/Rafael%20Lozano-Hemmer.jpg
https://artbase.rhizome.org/entity/Q1085,Leila Christine Nadir,http://www.wikidata.org/entity/Q18619047,,,,,
https://artbase.rhizome.org/entity/Q1,Mark Tribe,http://www.wikidata.org/entity/Q6770038,,,,,
https://artbase.rhizome.org/entity/Q1136,Mark Amerika,http://www.wikidata.org/entity/Q6766531,,,,,
https://artbase.rhizome.org/entity/Q1155,Jennifer Chan,http://www.wikidata.org/entity/Q29035313,,,,,
https://artbase.rhizome.org/entity/Q133,Carola Unterberger-Probst,http://www.wikidata.org/entity/Q5044647,,,,,
https://artbase.rhizome.org/entity/Q4473,Mendi Obadike,http://www.wikidata.org/entity/Q28910236,,,,,
https://artbase.rhizome.org/entity/Q576,Matthew Fuller,http://www.wikidata.org/entity/Q17305942,,,,,
https://artbase.rhizome.org/entity/Q615,Émilie Gervais,http://www.wikidata.org/entity/Q42328672,,,,,
https://artbase.rhizome.org/entity/Q499,Mark Napier,http://www.wikidata.org/entity/Q3294193,,,,,
https://artbase.rhizome.org/entity/Q891,Yael Kanarek,http://www.wikidata.org/entity/Q8046620,,,,,
https://artbase.rhizome.org/entity/Q4474,Keith Obadike,http://www.wikidata.org/entity/Q40746098,,,,,
https://artbase.rhizome.org/entity/Q1098,Kai Altmann,http://www.wikidata.org/entity/Q109984843,,,,,
https://artbase.rhizome.org/entity/Q747,Burak Arıkan,http://www.wikidata.org/entity/Q4998088,,,,,
https://artbase.rhizome.org/entity/Q1161,Rafaël Rozendaal,http://www.wikidata.org/entity/Q3417276,,,,https://artbase.rhizome.org/wiki/File:Ca-3063.jpg,
