artistLabel,artistPage,artworkLabel,artworkPage
0100101110101101,https://artbase.rhizome.org/wiki/Q1167,Nike Ground,https://artbase.rhizome.org/wiki/Q1292
0100101110101101,https://artbase.rhizome.org/wiki/Q1167,My Generation,https://artbase.rhizome.org/wiki/Q2132
0100101110101101,https://artbase.rhizome.org/wiki/Q1167,Darko Maver,https://artbase.rhizome.org/wiki/Q2164
0100101110101101,https://artbase.rhizome.org/wiki/Q1167,Freedom,https://artbase.rhizome.org/wiki/Q4291
0100101110101101,https://artbase.rhizome.org/wiki/Q1167,Biennale.py,https://artbase.rhizome.org/wiki/Q2782
0100101110101101,https://artbase.rhizome.org/wiki/Q1167,Life Sharing,https://artbase.rhizome.org/wiki/Q3961
0100101110101101,https://artbase.rhizome.org/wiki/Q1167,Copies,https://artbase.rhizome.org/wiki/Q3570
1010 1010,https://artbase.rhizome.org/wiki/Q1005,ap0202,https://artbase.rhizome.org/wiki/Q2733
11811,https://artbase.rhizome.org/wiki/Q4757,11811,https://artbase.rhizome.org/wiki/Q2268
220hex,https://artbase.rhizome.org/wiki/Q139,DodoNews,https://artbase.rhizome.org/wiki/Q2937
6,https://artbase.rhizome.org/wiki/Q340,outside,https://artbase.rhizome.org/wiki/Q2362
: O l g a : : M i n k :,https://artbase.rhizome.org/wiki/Q49,Video-matic.nl,https://artbase.rhizome.org/wiki/Q4258
<computerfinearts collection>,https://artbase.rhizome.org/wiki/Q4723,archive: moving image gallery,https://artbase.rhizome.org/wiki/Q1879
A .,https://artbase.rhizome.org/wiki/Q692,Absurd Org.,https://artbase.rhizome.org/wiki/Q4035
A. Andreas,https://artbase.rhizome.org/wiki/Q780,semantic disturbances-2005,https://artbase.rhizome.org/wiki/Q2379
A. Andreas,https://artbase.rhizome.org/wiki/Q780,Web Uebermahlung Nr. 1,https://artbase.rhizome.org/wiki/Q3083
A. Manley,https://artbase.rhizome.org/wiki/Q35,butinfin,https://artbase.rhizome.org/wiki/Q1993
ANnikA LARSSON,https://artbase.rhizome.org/wiki/Q668,PIRATE,https://artbase.rhizome.org/wiki/Q1633
AUDiNT,https://artbase.rhizome.org/wiki/Q4705,The Dead Letter Office,https://artbase.rhizome.org/wiki/Q1599
Aaron Koblin,https://artbase.rhizome.org/wiki/Q560,Eat you up,https://artbase.rhizome.org/wiki/Q1849
Aaron Koblin,https://artbase.rhizome.org/wiki/Q560,Memecry,https://artbase.rhizome.org/wiki/Q2009
Aaron Koblin,https://artbase.rhizome.org/wiki/Q560,The Sheep Market,https://artbase.rhizome.org/wiki/Q4235
Aaron Koblin,https://artbase.rhizome.org/wiki/Q560,Flight Patterns,https://artbase.rhizome.org/wiki/Q3224
Aaron Meyers,https://artbase.rhizome.org/wiki/Q1145,Torrent Raiders,https://artbase.rhizome.org/wiki/Q1819
Aaron Oldenburg,https://artbase.rhizome.org/wiki/Q1118,Suction,https://artbase.rhizome.org/wiki/Q1845
Aaron Oldenburg,https://artbase.rhizome.org/wiki/Q1118,Repent,https://artbase.rhizome.org/wiki/Q3135
Aaron Siegel,https://artbase.rhizome.org/wiki/Q292,Power Structures,https://artbase.rhizome.org/wiki/Q1665
Aaron Siegel,https://artbase.rhizome.org/wiki/Q292,Visual Rhizome,https://artbase.rhizome.org/wiki/Q1871
Aaron Siegel,https://artbase.rhizome.org/wiki/Q292,Research Chronology,https://artbase.rhizome.org/wiki/Q3380
Aaron Siegel,https://artbase.rhizome.org/wiki/Q292,IPicons,https://artbase.rhizome.org/wiki/Q2040
Aaron Siegel,https://artbase.rhizome.org/wiki/Q292,Transvergent Project Relationship Model,https://artbase.rhizome.org/wiki/Q3044
Aaron Siegel,https://artbase.rhizome.org/wiki/Q292,Two-Dimensional Audio Mixer,https://artbase.rhizome.org/wiki/Q3967
