artwork_page,artwork_label,artist_label,artist_label_2,artist_label_3,accession,inception,summary_url,summary_url_2,description_url,description_url_2,statement_url
https://artbase.rhizome.org/wiki/Q2423,ZUR FARBENLEHRE (THEORY OF COLOURS),Steven Jones,,,2007-03-23T00:00:00Z,2007-01-01T00:00:00Z,https://artbase.rhizome.org/wiki/Document:Q9460,,https://artbase.rhizome.org/wiki/Document:Q10544,,
https://artbase.rhizome.org/wiki/Q4089,Zones de Convergence,cicero,,,2005-08-10T00:00:00Z,2005-01-01T00:00:00Z,https://artbase.rhizome.org/wiki/Document:Q7018,,https://artbase.rhizome.org/wiki/Document:Q11643,,
https://artbase.rhizome.org/wiki/Q1475,Zombie and Mummy,Dragan Espenschied,Olia Lialina,,2004-10-27T00:00:00Z,2002-10-31T00:00:00Z,https://artbase.rhizome.org/wiki/Document:Q5174,,https://artbase.rhizome.org/wiki/Document:Q9938,,
https://artbase.rhizome.org/wiki/Q4374,"Zaira, City of Memories",Gokcen Erguven,,,2004-10-06T00:00:00Z,2004-01-01T00:00:00Z,https://artbase.rhizome.org/wiki/Document:Q7212,,https://artbase.rhizome.org/wiki/Document:Q11822,,
https://artbase.rhizome.org/wiki/Q3972,Z_G [zeitgeist gestalten],Tiago Borges,,,2008-04-05T00:00:00Z,2007-01-01T00:00:00Z,https://artbase.rhizome.org/wiki/Document:Q6934,,https://artbase.rhizome.org/wiki/Document:Q11567,,
https://artbase.rhizome.org/wiki/Q2580,Z,Antoni Abad,,,2003-09-28T00:00:00Z,2001-01-01T00:00:00Z,https://artbase.rhizome.org/wiki/Document:Q5956,,https://artbase.rhizome.org/wiki/Document:Q10647,,
https://artbase.rhizome.org/wiki/Q2067,YouTube School for Social Politics,Red76,,,2011-09-27T00:00:00Z,2011-01-01T00:00:00Z,https://artbase.rhizome.org/wiki/Document:Q9414,,https://artbase.rhizome.org/wiki/Document:Q10318,,
https://artbase.rhizome.org/wiki/Q3294,"Your life, our movie",Fernando Velázquez,,,2009-01-27T00:00:00Z,2008-01-01T00:00:00Z,https://artbase.rhizome.org/wiki/Document:Q6462,,https://artbase.rhizome.org/wiki/Document:Q11120,,
https://artbase.rhizome.org/wiki/Q3014,youConnect,mark cooley,,,2004-01-08T00:00:00Z,2003-01-01T00:00:00Z,https://artbase.rhizome.org/wiki/Document:Q6259,,https://artbase.rhizome.org/wiki/Document:Q10928,,
https://artbase.rhizome.org/wiki/Q2306,you me and,Erwin Redl,,,2001-08-25T00:00:00Z,2001-01-01T00:00:00Z,https://artbase.rhizome.org/wiki/Document:Q9443,,https://artbase.rhizome.org/wiki/Document:Q10471,,
https://artbase.rhizome.org/wiki/Q3200,You Are Not Here,Mushon Zer-Aviv,,,2008-07-30T00:00:00Z,2008-01-01T00:00:00Z,https://artbase.rhizome.org/wiki/Document:Q6393,,https://artbase.rhizome.org/wiki/Document:Q11054,,
https://artbase.rhizome.org/wiki/Q3241,YOU ARE MY SUBJECTS. 2004 By Stanza,Stanza,,,2006-10-16T00:00:00Z,2005-01-01T00:00:00Z,https://artbase.rhizome.org/wiki/Document:Q9582,,https://artbase.rhizome.org/wiki/Document:Q11086,,https://artbase.rhizome.org/wiki/Document:Q11919
https://artbase.rhizome.org/wiki/Q2636,You Are Late,Barbara Lattanzi,,,2001-09-21T00:00:00Z,2001-01-01T00:00:00Z,https://artbase.rhizome.org/wiki/Document:Q9499,,https://artbase.rhizome.org/wiki/Document:Q10683,,
https://artbase.rhizome.org/wiki/Q2347,Yesterday's Song,Jason Corace,,,2004-12-08T00:00:00Z,2004-01-01T00:00:00Z,https://artbase.rhizome.org/wiki/Document:Q5790,,https://artbase.rhizome.org/wiki/Document:Q10495,,
https://artbase.rhizome.org/wiki/Q1865,yes for sure .com,Rafaël Rozendaal,,,,,https://artbase.rhizome.org/wiki/Document:Q5454,,,,
https://artbase.rhizome.org/wiki/Q1828,Yarn,Felix Drăgan,,,2007-08-24T00:00:00Z,2007-01-01T00:00:00Z,https://artbase.rhizome.org/wiki/Document:Q5426,,https://artbase.rhizome.org/wiki/Document:Q10162,,
https://artbase.rhizome.org/wiki/Q4152,Yard Sale in the Sky,Kristin Lucas,,,2012-05-12T00:00:00Z,2012-01-01T00:00:00Z,https://artbase.rhizome.org/wiki/Document:Q7066,https://artbase.rhizome.org/wiki/Document:Q9714,https://artbase.rhizome.org/wiki/Document:Q11687,,
https://artbase.rhizome.org/wiki/Q3764,Y o u r    s F a c e    o r    M i n e ?       A n o n y m i t y,Reginald Brooks,,,2013-04-13T00:00:00Z,2004-01-01T00:00:00Z,https://artbase.rhizome.org/wiki/Document:Q9643,,https://artbase.rhizome.org/wiki/Document:Q11434,,https://artbase.rhizome.org/wiki/Document:Q11934
https://artbase.rhizome.org/wiki/Q4196,xTNZ,Rui Filipe Antunes,,,2007-01-18T00:00:00Z,1999-01-01T00:00:00Z,https://artbase.rhizome.org/wiki/Document:Q9724,,https://artbase.rhizome.org/wiki/Document:Q11716,,
https://artbase.rhizome.org/wiki/Q3115,"xml translation of dan graham's ""schema""",Matthew Butler,,,2005-08-08T00:00:00Z,2004-01-01T00:00:00Z,https://artbase.rhizome.org/wiki/Document:Q9560,,https://artbase.rhizome.org/wiki/Document:Q10999,,
https://artbase.rhizome.org/wiki/Q4344,X(818),peter nidzgorski,,,2002-05-07T00:00:00Z,2001-01-01T00:00:00Z,https://artbase.rhizome.org/wiki/Document:Q7196,,https://artbase.rhizome.org/wiki/Document:Q11808,,
https://artbase.rhizome.org/wiki/Q3968,X-Scape,Mattia Casalegno,,,2007-09-12T00:00:00Z,2007-01-01T00:00:00Z,https://artbase.rhizome.org/wiki/Document:Q6930,,https://artbase.rhizome.org/wiki/Document:Q11563,,
https://artbase.rhizome.org/wiki/Q2948,X-lam,Teo Spiller,,,2007-07-10T00:00:00Z,2007-01-01T00:00:00Z,https://artbase.rhizome.org/wiki/Document:Q6213,,https://artbase.rhizome.org/wiki/Document:Q10884,,
https://artbase.rhizome.org/wiki/Q3046,www.pulp.href,Jimpunk,,,2006-06-06T00:00:00Z,2005-01-01T00:00:00Z,https://artbase.rhizome.org/wiki/Document:Q9551,,https://artbase.rhizome.org/wiki/Document:Q10948,,
https://artbase.rhizome.org/wiki/Q4141,www.paperrad.org,Paper Rad,,,2005-06-15T00:00:00Z,2001-01-01T00:00:00Z,https://artbase.rhizome.org/wiki/Document:Q7059,,https://artbase.rhizome.org/wiki/Document:Q11681,,
https://artbase.rhizome.org/wiki/Q3311,www.martinih.com,Ulysses Alvarez,,,2004-11-04T00:00:00Z,2004-01-01T00:00:00Z,https://artbase.rhizome.org/wiki/Document:Q6475,,https://artbase.rhizome.org/wiki/Document:Q11133,,
https://artbase.rhizome.org/wiki/Q2204,www.hotel-president.de,Hannes Gamper,,,2001-05-14T00:00:00Z,2001-01-01T00:00:00Z,https://artbase.rhizome.org/wiki/Document:Q5690,,https://artbase.rhizome.org/wiki/Document:Q10405,,
https://artbase.rhizome.org/wiki/Q1213,www.bodywatch.us,Jessica Ivins,,,2004-06-30T00:00:00Z,2004-01-01T00:00:00Z,https://artbase.rhizome.org/wiki/Document:Q4995,,https://artbase.rhizome.org/wiki/Document:Q9769,,
https://artbase.rhizome.org/wiki/Q3445,www.biencommun.com,David Zerah,,,2002-12-19T00:00:00Z,2002-01-01T00:00:00Z,https://artbase.rhizome.org/wiki/Document:Q6567,,https://artbase.rhizome.org/wiki/Document:Q11218,,
