,ID,Artist,Artist URL,Collective,Collective URL,Nationality,Gender,Birth,Death,wikiQID,ULAN
0,1,1010 1010,https://artbase.rhizome.org/wiki/Q1005,,,missing,missing,0,0,,
1,2,11811,https://artbase.rhizome.org/wiki/Q4757,,,missing,missing,0,0,,
2,3,220hex,https://artbase.rhizome.org/wiki/Q139,,,Norwegian,M,0,0,,
3,4,6,https://artbase.rhizome.org/wiki/Q340,,,missing,missing,0,0,,
4,5,: O l g a : : M i n k :,https://artbase.rhizome.org/wiki/Q49,,,Dutch,F,1974,0,,
5,6,Michele Thursz,,<computerfinearts collection>,https://artbase.rhizome.org/wiki/Q4723,missing,F,0,0,,
6,7,A .,https://artbase.rhizome.org/wiki/Q692,,,missing,missing,0,0,,
7,8,A. Andreas,https://artbase.rhizome.org/wiki/Q780,,,Dutch,M,1956,0,,
8,9,A. Manley,https://artbase.rhizome.org/wiki/Q35,,,missing,missing,0,0,,
9,10,ANnikA LARSSON,https://artbase.rhizome.org/wiki/Q668,,,Swedish,F,1972,0,,500378732
10,11,Aaron Koblin,https://artbase.rhizome.org/wiki/Q560,,,American,M,1982,0,,
11,12,Aaron Meyers,https://artbase.rhizome.org/wiki/Q1145,,,missing,M,0,0,,
12,13,Aaron Oldenburg,https://artbase.rhizome.org/wiki/Q1118,,,American,M,1979,0,,
13,14,Aaron Siegel,https://artbase.rhizome.org/wiki/Q292,,,missing,M,0,0,,
14,15,Aaron Zinman,https://artbase.rhizome.org/wiki/Q603,,,American,M,0,0,,
15,16,Abinadi Meza,https://artbase.rhizome.org/wiki/Q625,,,American,M,1977,0,,
16,17,Adam Cruces,https://artbase.rhizome.org/wiki/Q809,,,American,M,1985,0,,
17,18,Adam Sammons,https://artbase.rhizome.org/wiki/Q477,,,missing,M,0,0,,
18,19,Adam Somlai-Fischer,https://artbase.rhizome.org/wiki/Q111,,,Hungarian,M,1976,0,,500282057
19,20,Adina Glickstein,https://artbase.rhizome.org/wiki/Q12117,,,missing,F,0,0,,
