,dateCreated,dateAcquired,size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1983,2005,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1993,2005,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1994,2001,2,,,Sum of size,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1995,2001,3,,,Row Labels,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
4,1995,2002,2,,,2000,,,,,,,,,,,,,,,1,1,,8,,,,,,,,,,,,,,,,,,,,,
5,1995,2003,1,,,2001,,,,,,,,,,,,2,3,8,7,15,13,46,167,,,,,,,,,,1,,,,,,,,,,
6,1995,2004,1,,,2002,,,,,,,,,,,,,2,2,5,1,3,21,64,184,,,,,,,,,,,,,,,,,,,
7,1995,2008,1,,,2003,,,,,,,,,,,,,1,,1,,2,8,10,49,72,,1,,,,,,,,,,,,,,,,
8,1995,2012,1,,,2004,,,,,,,,,,,,,1,2,3,,7,4,17,26,52,155,,,,,,,1,,,,,,,,,,
9,1996,2001,8,,,2005,1,,,,,,,,,,1,,,,2,3,1,7,6,13,21,47,166,,2,,,,1,,,,,,,,,,
10,1996,2002,2,,,2006,,,,,,,,,,,,,,1,1,1,2,,1,2,12,13,41,134,6,,,1,,,,,,,,,,,
11,1996,2004,2,,,2007,,,,,,,,,,,,,,,,,1,,,1,1,6,20,37,233,1,,,,1,,,,,,,,,
12,1996,2006,1,,,2008,,,,,,,,,,,,,1,1,5,2,4,3,6,4,1,2,4,9,26,90,,,2,,,,,,,,,,
13,1996,2008,1,,,2009,,,,,,,,,,,,,,,,1,,,1,,1,1,2,1,5,14,47,1,,,,,,,,,,,
14,1997,2000,1,,,2010,,,,,,,,,,,,,,,,,,,,,,,,1,2,,6,13,1,,,,,,,,,,
15,1997,2001,7,,,2011,,,,,,,,,,,,,,,,1,,,1,,,,,1,2,2,5,3,43,,,,,,,,,,
16,1997,2002,5,,,2012,,,,,,,,,,,,,1,,1,,,,,,1,,,1,1,3,4,19,17,30,,,,,,,,,
17,1997,2003,1,,,2013,,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,,1,3,3,,,,,,,,
18,1997,2004,3,,,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1997,2005,2,,,2015,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,1,,3,,,,,,
20,1997,2006,1,,,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
21,1997,2008,5,,,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1997,2012,1,,,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1997,2015,1,,,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1998,2000,1,,,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1998,2001,15,,,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,2,1,6,2
26,1998,2002,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1998,2005,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1998,2006,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1998,2008,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1998,2009,1,,,Row Labels,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
31,1998,2011,1,,,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,1999,2001,13,,,2001,0,0,0,0,0,0,0,0,0,0,0,2,3,8,7,15,13,46,167,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
33,1999,2002,3,,,2002,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,1,3,21,64,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,1999,2003,2,,,2003,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,8,10,49,72,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,1999,2004,7,,,2004,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,7,4,17,26,52,155,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
36,1999,2005,1,,,2005,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3,1,7,6,13,21,47,166,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
37,1999,2006,2,,,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,1,2,12,13,41,134,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0
38,1999,2007,1,,,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,6,20,37,233,1,0,0,0,1,0,0,0,0,0,0,0,0,0
39,1999,2008,4,,,2008,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,2,4,3,6,4,1,2,4,9,26,90,0,0,2,0,0,0,0,0,0,0,0,0,0
40,2000,2000,8,,,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,2,1,5,14,47,1,0,0,0,0,0,0,0,0,0,0,0
41,2000,2001,46,,,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,6,13,1,0,0,0,0,0,0,0,0,0,0
42,2000,2002,21,,,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,2,2,5,3,43,0,0,0,0,0,0,0,0,0,0
43,2000,2003,8,,,2012,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,3,4,19,17,30,0,0,0,0,0,0,0,0,0
44,2000,2004,4,,,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,3,3,0,0,0,0,0,0,0,0
45,2000,2005,7,,,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,2000,2008,3,,,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,0,0,0,0,0
47,2001,2001,167,,,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
48,2001,2002,64,,,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,2001,2003,10,,,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,2001,2004,17,,,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,2001,2005,6,,,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,2001,2006,1,,,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,1,6,2
53,2001,2008,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2001,2009,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2001,2011,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2002,2002,184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2002,2003,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2002,2004,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2002,2005,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2002,2006,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,2002,2007,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,2002,2008,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,2003,2003,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,2003,2004,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,2003,2005,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,2003,2006,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,2003,2007,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,2003,2008,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,2003,2009,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,2003,2012,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,2004,2004,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,2004,2005,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
