,URL,Title,Artist,dateAcquired,dateCreated,Nationality,Gender,Text,Keywords,Department,Nation,country_code,Divide,Region,Source,Gender_ID
0,https://artbase.rhizome.org/wiki/Q1475,Zombie and Mummy,"Dragan Espenschied, Olia Lialina",2004,2002,"German, Russian","M, F",zombie mummy website hosted episodic online comic adventures titular characters every monday presented list clickable gifs gif opens new webpage visitors browse delights zombie mummys homepage family tree illustrated palm pilot drawings accompanied midi themestaf2021nremember going lofi ultimate symbol indie cred youll appreciate oddball defiantly quirky deceptively lowtech web site conceived artists olia lialina dragan espenschied site presents new episode mummy zombie adventures every monday youll taken quirky world nonsequiturs look feel site circa 1995 join gruesome twosome make homely homepage sure bring back memories browse duos unique family tree blends royalty easy disturbing way interestingly strip drawn palm pilot pasted page upon adventure based dont worry feel like dont get initial visit let hypnotic midi theme take follow artists strange path digital art 2003 yahoodragan espenschied olia lialin27 october 2004 zombie mummy website hosted episodic online comic adventures titular characters every monday presented list clickable gifs gif opens new webpage visitors browse delights zombie mummys homepage family tree illustrated palm pilot drawings accompanied midi themestaf2021 zombie mummy website hosted episodic online comic adventures titular characters every monday presented list clickable gifs gif opens new webpage visitors browse delights zombie mummys homepage family tree illustrated palm pilot drawings accompanied midi theme staf2021 2021 remember going lofi ultimate symbol indie cred youll appreciate oddball defiantly quirky deceptively lowtech web site conceived artists olia lialina dragan espenschied site presents new episode mummy zombie adventures every monday youll taken quirky world nonsequiturs look feel site circa 1995 join gruesome twosome make homely homepage sure bring back memories browse duos unique family tree blends royalty easy disturbing way interestingly strip drawn palm pilot pasted page upon adventure based dont worry feel like dont get initial visit let hypnotic midi theme take follow artists strange path digital art 2003 yahoodragan espenschied olia lialin27 october 2004 remember going lofi ultimate symbol indie cred youll appreciate oddball defiantly quirky deceptively lowtech web site conceived artists olia lialina dragan espenschied site presents new episode mummy zombie adventures every monday youll taken quirky world nonsequiturs look feel site circa 1995 join gruesome twosome make homely homepage sure bring back memories browse duos unique family tree blends royalty easy disturbing way interestingly strip drawn palm pilot pasted page upon adventure based dont worry feel like dont get initial visit let hypnotic midi theme take follow artists strange path digital art 2003 yahoo dragan espenschied olia lialin27 october 2004 dragan espenschied olia lialina 27 october 2004,"zombie, site, olia, espenschied, mummy, adventures, every, monday, new, browse, homepage, family, tree, palm, pilot, midi, youll, quirky, artists, feel",Still Images,Germany,DEU,Global North,Europe,Rhizome,2
1,https://artbase.rhizome.org/wiki/Q4374,"Zaira, City of Memories",Gokcen Erguven,2004,2004,Turkish ,F,project based solely italo calvinos novel called invisible cities architecture content structure text quotations visual content documentation one texts cities memory 3 played triggering role city described text zaira center narration flows surroundings 3 cities ankara born i̇stanbul live london want live chosen based different periods life depth experiences three cities soaking memories fed book new city zaira formed loss boundary mind calvino narrates one real city venice whole book dispelling imaginary ones calvinos narrative process starts flow project realised reader wants achieve opeess continuity book proved applying method vice versa like recreating visuals text invisible cities also turned real ones separated venice 55 texts 55 imaginary cities formed zaira stores 3 real ones imaginary identity zaira city memories hypertext project structure based books content table tries give idea nonlinear reading reader aim rebuild content equivalent medium emphasizes nonlinear dynamic nature created supremely calvinogokcen erguve6 october 2004 project based solely italo calvinos novel called invisible cities architecture content structure text quotations visual content documentation one texts cities memory 3 played triggering role city described text zaira center narration flows surroundings 3 cities ankara born i̇stanbul live london want live chosen based different periods life depth experiences three cities soaking memories fed book new city zaira formed loss boundary mind calvino narrates one real city venice whole book dispelling imaginary ones calvinos narrative process starts flow project realised reader wants achieve opeess continuity book proved applying method vice versa like recreating visuals text invisible cities also turned real ones separated venice 55 texts 55 imaginary cities formed zaira stores 3 real ones imaginary identity zaira city memories hypertext project structure based books content table tries give idea nonlinear reading reader aim rebuild content equivalent medium emphasizes nonlinear dynamic nature created supremely calvinogokcen erguve6 october 2004 project based solely italo calvinos novel called invisible cities architecture content structure text quotations visual content documentation one texts cities memory 3 played triggering role city described text zaira center narration flows surroundings 3 cities ankara born i̇stanbul live london want live chosen based different periods life depth experiences three cities soaking memories fed book new city zaira formed loss boundary mind calvino narrates one real city venice whole book dispelling imaginary ones calvinos narrative process starts flow project realised reader wants achieve opeess continuity book proved applying method vice versa like recreating visuals text invisible cities also turned real ones separated venice 55 texts 55 imaginary cities formed zaira stores 3 real ones imaginary identity zaira city memories hypertext project structure based books content table tries give idea nonlinear reading reader aim rebuild content equivalent medium emphasizes nonlinear dynamic nature created supremely calvino gokcen erguve6 october 2004 gokcen erguven 6 october 2004,"cities, content, city, zaira, project, based, text, book, real, imaginary, ones, calvinos, invisible, structure, one, texts, live, memories, formed, venice",Media and Performance,Turkey,TUR,Global North,Europe,Rhizome,1
2,https://artbase.rhizome.org/wiki/Q3972,Z_G [zeitgeist gestalten],Tiago Borges,2008,2007,Angolan,M,looking den zeitgeist gestalten design spirit time idea tool achieving delete article den change strict meaning beam wider possible meanings tending towards idea design spirit experiencenz_g zeitgeist gestalten online application allows user experience website visually poetic waynthe intuitive interface software contains upper right field inserting url addresses two colour palettes setting foreground background coloursnwhen web address inserted confirmed z_g reads page corresponding given web address appears main screen seconds outsets filtered version web page without semantic content yet filled poetic meaningnthe colour setting palettes upper right part z_g allow customization experience real timenz_g also offers time based experience browse links within z_ged page exist wherever cursor becomes handnthis project produced 2007 proposal direccaogeral das artes ministerio da cultura portugaltiago borge5 april 2008 looking den zeitgeist gestalten design spirit time idea tool achieving delete article den change strict meaning beam wider possible meanings tending towards idea design spirit experiencenz_g zeitgeist gestalten online application allows user experience website visually poetic waynthe intuitive interface software contains upper right field inserting url addresses two colour palettes setting foreground background coloursnwhen web address inserted confirmed z_g reads page corresponding given web address appears main screen seconds outsets filtered version web page without semantic content yet filled poetic meaningnthe colour setting palettes upper right part z_g allow customization experience real timenz_g also offers time based experience browse links within z_ged page exist wherever cursor becomes handnthis project produced 2007 proposal direccaogeral das artes ministerio da cultura portugaltiago borge5 april 2008 looking den zeitgeist gestalten design spirit time idea tool achieving delete article den change strict meaning beam wider possible meanings tending towards idea design spirit experiencenz_g zeitgeist gestalten online application allows user experience website visually poetic waynthe intuitive interface software contains upper right field inserting url addresses two colour palettes setting foreground background coloursnwhen web address inserted confirmed z_g reads page corresponding given web address appears main screen seconds outsets filtered version web page without semantic content yet filled poetic meaningnthe colour setting palettes upper right part z_g allow customization experience real timenz_g also offers time based experience browse links within z_ged page exist wherever cursor becomes handnthis project produced 2007 proposal direccaogeral das artes ministerio da cultura portugal tiago borge5 april 2008 tiago borges 5 april 2008,"experience, web, page, den, zeitgeist, gestalten, design, spirit, time, idea, poetic, upper, right, colour, palettes, setting, address, april, looking, tool",Media and Performance,Angola,AGO,Global South,Africa,Rhizome,0
3,https://artbase.rhizome.org/wiki/Q2580,Z,Antoni Abad,2003,2001,Spanish,M,z freeware fly variable behaviour patterns fly genetically unique lives pc inhabits online conceived virtual swarm flies intended multiply internet via free exchange users individuals communicate canal z according different criteria time zone online flies community evolution graph swarm genealogical tree language etc z users manipulate behaviour morphology individual flies zlab genetic laboratory resulting mutants exchanged canal z aim z create distributed communication network independent central server fly become server client simultaneously soon z users able create networks z evolution phenomena online  canal zantoni aba28 september 2003ntoni abad le fresnoy macba psantoni abadnparticipatory information map database social space public space network netart internet community artificial life java html softwarz freeware fly variable behaviour patterns fly genetically unique lives pc inhabits online conceived virtual swarm flies intended multiply internet via free exchange users individuals communicate canal z according different criteria time zone online flies community evolution graph swarm genealogical tree language etc z users manipulate behaviour morphology individual flies zlab genetic laboratory resulting mutants exchanged canal z aim z create distributed communication network independent central server fly become server client simultaneously soon z users able create networks z evolution phenomena online  canal zantoni aba28 september 2003 z freeware fly variable behaviour patterns fly genetically unique lives pc inhabits online conceived virtual swarm flies intended multiply internet via free exchange users individuals communicate canal z according different criteria time zone online flies community evolution graph swarm genealogical tree language etc z users manipulate behaviour morphology individual flies zlab genetic laboratory resulting mutants exchanged canal z aim z create distributed communication network independent central server fly become server client simultaneously soon z users able create networks z evolution phenomena online  canal z antoni aba28 september 2003 antoni abad 28 september 2003 descriptive tagsantoni abad le fresnoy macba psantoni abadnparticipatory information map database social space public space network netart internet community artificial life java html softwardescriptive tags antoni abad le fresnoy macba psantoni abad antoni abad le fresnoy macba ps1 antoni abad antoni abad participatory information map database social space public space network netart internet community artificial life java html softwarparticipatory information map database social space public space network netart internet community artificial life java html software,"z, fly, online, flies, users, canal, abad, space, internet, community, network, behaviour, swarm, evolution, create, server, antoni, september, le, fresnoy",Media and Performance,Spain,ESP,Global North,Europe,Rhizome,0
4,https://artbase.rhizome.org/wiki/Q2067,YouTube School for Social Politics,Red76,2011,2011,"American, American","M, M",youtube school social politics utilizes surplus knowledge driving force ephemeral energy source powering sustainable discourse scattered throughout youtube lie countless points view disparate moments histories personal collective arranging video segments documentaries personal missives old family films newsreels music videos new light shed sociopolitical landscape history past history present ytssp invites guest historians artists theorists construct essays sociohistorical inquiry assemblage clips found youtubered76 sam gould gabriel mindel saloma27 september 2011nthe youtube school social politics ytssp simple simplicity hope make easy access easy regenerate easy reconfigure means intellectually conceptually creatively engaging uses everyday media old gray lady facebook linenthe early stages ytssp red76 commissioning writers educators artists consider idea would like explore rather write essay utilizing text go onto youtube compile playlist could expand upon concerns addition participant recorded video forward compositiowe held screenings abandoned storefronts museums universities small art spaces even movie theatre vancouver canadanthrough contributions likes robby herbst gabriel mindel soloman courtney dailey dan wang mike wolf juana berrio stephen duncombe ola stahl sam gould steve lambert others created space screening discussing myriad sociopolitical concerns varying notions utopic ideals colonization subjectivity protest imagery beyondnfinding ways expand upon ideas embedded ytssp concept create new outlets participation conversation around compositions led us instance create separate print pieces utilized ideas first discussed within ytssp essays conversations took place ytssp screenings well video linkup students pittsburgh pe tehran iran wherein playlists traded individuals aimed discussing perception two cultures across digital dividered76 sam gould gabriel mindel saloma27 september 2011 youtube school social politics utilizes surplus knowledge driving force ephemeral energy source powering sustainable discourse scattered throughout youtube lie countless points view disparate moments histories personal collective arranging video segments documentaries personal missives old family films newsreels music videos new light shed sociopolitical landscape history past history present ytssp invites guest historians artists theorists construct essays sociohistorical inquiry assemblage clips found youtubered76 sam gould gabriel mindel saloma27 september 2011 youtube school social politics utilizes surplus knowledge driving force ephemeral energy source powering sustainable discourse scattered throughout youtube lie countless points view disparate moments histories personal collective arranging video segments documentaries personal missives old family films newsreels music videos new light shed sociopolitical landscape history past history present ytssp invites guest historians artists theorists construct essays sociohistorical inquiry assemblage clips found youtube red76 sam gould gabriel mindel saloma27 september 2011 red76 sam gould gabriel mindel saloman 27 september 2011 youtube school social politics ytssp simple simplicity hope make easy access easy regenerate easy reconfigure means intellectually conceptually creatively engaging uses everyday media old gray lady facebook linenthe early stages ytssp red76 commissioning writers educators artists consider idea would like explore rather write essay utilizing text go onto youtube compile playlist could expand upon concerns addition participant recorded video forward compositiowe held screenings abandoned storefronts museums universities small art spaces even movie theatre vancouver canadanthrough contributions likes robby herbst gabriel mindel soloman courtney dailey dan wang mike wolf juana berrio stephen duncombe ola stahl sam gould steve lambert others created space screening discussing myriad sociopolitical concerns varying notions utopic ideals colonization subjectivity protest imagery beyondnfinding ways expand upon ideas embedded ytssp concept create new outlets participation conversation around compositions led us instance create separate print pieces utilized ideas first discussed within ytssp essays conversations took place ytssp screenings well video linkup students pittsburgh pe tehran iran wherein playlists traded individuals aimed discussing perception two cultures across digital dividered76 sam gould gabriel mindel saloma27 september 2011 youtube school social politics ytssp simple simplicity hope make easy access easy regenerate easy reconfigure means intellectually conceptually creatively engaging uses everyday media old gray lady facebook linenthe early stages ytssp red76 commissioning writers educators artists consider idea would like explore rather write essay utilizing text go onto youtube compile playlist could expand upon concerns addition participant recorded video forward compositiowe held screenings abandoned storefronts museums universities small art spaces even movie theatre vancouver canadanthrough contributions likes robby herbst gabriel mindel soloman courtney dailey dan wang mike wolf juana berrio stephen duncombe ola stahl sam gould steve lambert others created space screening discussing myriad sociopolitical concerns varying notions utopic ideals colonization subjectivity protest imagery beyondnfinding ways expand upon ideas embedded ytssp concept create new outlets participation conversation around compositions led us instance create separate print pieces utilized ideas first discussed within ytssp essays conversations took place ytssp screenings well video linkup students pittsburgh pe tehran iran wherein playlists traded individuals aimed discussing perception two cultures across digital divide red76 sam gould gabriel mindel saloma27 september 2011 red76 sam gould gabriel mindel saloman 27 september 2011,"ytssp, youtube, sam, gould, gabriel, mindel, video, easy, september, school, social, politics, personal, old, new, sociopolitical, history, artists, essays, expand",Moving Images,United States,USA,Global North,North America,Rhizome,2
5,https://artbase.rhizome.org/wiki/Q2347,Yesterday's Song,Jason Corace,2004,2004,American,M,yesterdays song web art project combines blogging songwriting one hundred days wrote recorded posted song text entry based upon daily experiences visitors site rated songsstaf2021nyesterdays song web art project combinesnblogging songwriting one hundred days wrote recorded posted song text entrynbased upon daily experiences visitors site rated songs xa0these ratings used rank songs xa0top ten jukebox site xa0the site also contains blogalbum allows visitors xa0to play back entire project either chronological order according song rankingnultimately project exploration blogging songwriting combined form new kind personal narrative xa0in broader sense interested networks used xa0to challenge forms recorded musicjason corac8 december 2004 yesterdays song web art project combines blogging songwriting one hundred days wrote recorded posted song text entry based upon daily experiences visitors site rated songsstaf2021 yesterdays song web art project combines blogging songwriting one hundred days wrote recorded posted song text entry based upon daily experiences visitors site rated songs staf2021 2021 yesterdays song web art project combinesnblogging songwriting one hundred days wrote recorded posted song text entrynbased upon daily experiences visitors site rated songs xa0these ratings used rank songs xa0top ten jukebox site xa0the site also contains blogalbum allows visitors xa0to play back entire project either chronological order according song rankingnultimately project exploration blogging songwriting combined form new kind personal narrative xa0in broader sense interested networks used xa0to challenge forms recorded musicjason corac8 december 2004 yesterdays song web art project combinesnblogging songwriting one hundred days wrote recorded posted song text entrynbased upon daily experiences visitors site rated songs xa0these ratings used rank songs xa0top ten jukebox site xa0the site also contains blogalbum allows visitors xa0to play back entire project either chronological order according song rankingnultimately project exploration blogging songwriting combined form new kind personal narrative xa0in broader sense interested networks used xa0to challenge forms recorded music jason corac8 december 2004 jason corace 8 december 2004,"song, project, site, songwriting, recorded, visitors, songs, web, art, blogging, one, hundred, days, wrote, posted, text, upon, daily, experiences, rated",Media and Performance,United States,USA,Global North,North America,Rhizome,0
6,https://artbase.rhizome.org/wiki/Q4196,xTNZ,Rui Filipe Antunes,2007,1999,Portuguese,M,self portrait virtual world xtnz generative evolving virtual world inhabited population creatures due darwinian mendelian rules creatures evolve images sounds authors body course generational evolutirui filipe antune18 january 2007nxtnz garden 3d pcbased ecosystem living virtual environment creatures behave interact others reproduce according eventual interaction change properties visual appearance dimensions nxtnz metaphor eden comment poshuman condition contemporary society baudrillards extended body initial human body references used input images muscles organs tissue used textures creatures skin chewing body sounds creatures screams evolves time according creatures autonomous interaction unpredictable visual representation world emerge shapes evolve time according creatures behavior textures blend mutated reproduction occurs happens soundsrui filipe antune18 january 2007 self portrait virtual world xtnz generative evolving virtual world inhabited population creatures due darwinian mendelian rules creatures evolve images sounds authors body course generational evolutirui filipe antune18 january 2007 self portrait virtual world xtnz generative evolving virtual world inhabited population creatures due darwinian mendelian rules creatures evolve images sounds authors body course generational evolution rui filipe antune18 january 2007 rui filipe antunes 18 january 2007 xtnz garden 3d pcbased ecosystem living virtual environment creatures behave interact others reproduce according eventual interaction change properties visual appearance dimensions nxtnz metaphor eden comment poshuman condition contemporary society baudrillards extended body initial human body references used input images muscles organs tissue used textures creatures skin chewing body sounds creatures screams evolves time according creatures autonomous interaction unpredictable visual representation world emerge shapes evolve time according creatures behavior textures blend mutated reproduction occurs happens soundsrui filipe antune18 january 2007 xtnz garden 3d pcbased ecosystem living virtual environment creatures behave interact others reproduce according eventual interaction change properties visual appearance dimensions nxtnz metaphor eden comment poshuman condition contemporary society baudrillards extended body initial human body references used input images muscles organs tissue used textures creatures skin chewing body sounds creatures screams evolves time according creatures autonomous interaction unpredictable visual representation world emerge shapes evolve time according creatures behavior textures blend mutated reproduction occurs happens sounds rui filipe antune18 january 2007 rui filipe antunes 18 january 2007,"creatures, body, virtual, world, according, filipe, january, sounds, evolve, images, interaction, visual, used, textures, time, xtnz, rui, self, portrait, generative",Still Images,Portugal,PRT,Global North,Europe,Rhizome,0
7,https://artbase.rhizome.org/wiki/Q3115,"xml translation of dan graham's ""schema""",Matthew Butler,2005,2004,American,M,1966 conceptual artist dan graham composed languagebased work entitled schema artwork consisted formal procedure describe document set pages real reference content document schema called shares remarkable similarity xml invented 30 years later work xml implementation grahams schemamatthew butle8 august 2005nin 1966 conceptual artist dan graham composed languagebased work entitled schema artwork consisted formal procedure describe document set pages real reference content document schema called shares remarkable similarity xml invented 30 years laternthe conceptual artists late 1960s early 1970s interested nonvisual abstraction art artworks might represented information using language nonliterary nonpoetic maer sought continue tradition visual artists search abstraction minimalism many conceptual works time simply words paper instructions thought experiments schema allowed viewer aware material nature structure document holding well document might hold using xml created machinereadable translation 1966 worknschema originally published issue 56 aspen magazine archived ubuwebmatthew butle8 august 2005 1966 conceptual artist dan graham composed languagebased work entitled schema artwork consisted formal procedure describe document set pages real reference content document schema called shares remarkable similarity xml invented 30 years later work xml implementation grahams schemamatthew butle8 august 2005 1966 conceptual artist dan graham composed languagebased work entitled schema artwork consisted formal procedure describe document set pages real reference content document schema called shares remarkable similarity xml invented 30 years later work xml implementation grahams schema matthew butle8 august 2005 matthew butler 8 august 2005 1966 conceptual artist dan graham composed languagebased work entitled schema artwork consisted formal procedure describe document set pages real reference content document schema called shares remarkable similarity xml invented 30 years laternthe conceptual artists late 1960s early 1970s interested nonvisual abstraction art artworks might represented information using language nonliterary nonpoetic maer sought continue tradition visual artists search abstraction minimalism many conceptual works time simply words paper instructions thought experiments schema allowed viewer aware material nature structure document holding well document might hold using xml created machinereadable translation 1966 worknschema originally published issue 56 aspen magazine archived ubuwebmatthew butle8 august 2005 1966 conceptual artist dan graham composed languagebased work entitled schema artwork consisted formal procedure describe document set pages real reference content document schema called shares remarkable similarity xml invented 30 years laternthe conceptual artists late 1960s early 1970s interested nonvisual abstraction art artworks might represented information using language nonliterary nonpoetic maer sought continue tradition visual artists search abstraction minimalism many conceptual works time simply words paper instructions thought experiments schema allowed viewer aware material nature structure document holding well document might hold using xml created machinereadable translation 1966 worknschema originally published issue 56 aspen magazine archived ubuweb matthew butle8 august 2005 matthew butler 8 august 2005,"document, schema, conceptual, xml, work, august, artist, dan, graham, composed, languagebased, entitled, artwork, consisted, formal, procedure, describe, set, pages, real",Media and Performance,United States,USA,Global North,North America,Rhizome,0
8,https://artbase.rhizome.org/wiki/Q1258,wormholes to oli und ten,"Oliver Kauselmann, Thorsten Kloepfer",2002,2002,"German, missing","M, M",take 360 turn inside one many rooms environments coect one wormholes abound daily life wormholes seen memories associations two things take granted use regular basis order function society start clicking unspoken narrative someones life become readily apparent stripped much language focusing heavily storytelling power images site also becomes intuitively navigable since focus really explore environment almost pedestrian fashioliver kauselma thorsten kloepfe9 november 2002hilip pocock offf 2001 offforonnarrative documentary virtual reality space public space memory interact language cinema javascript flash virtual video animatitake 360 turn inside one many rooms environments coect one wormholes abound daily life wormholes seen memories associations two things take granted use regular basis order function society start clicking unspoken narrative someones life become readily apparent stripped much language focusing heavily storytelling power images site also becomes intuitively navigable since focus really explore environment almost pedestrian fashioliver kauselma thorsten kloepfe9 november 2002 take 360 turn inside one many rooms environments coect one wormholes abound daily life wormholes seen memories associations two things take granted use regular basis order function society start clicking unspoken narrative someones life become readily apparent stripped much language focusing heavily storytelling power images site also becomes intuitively navigable since focus really explore environment almost pedestrian fashion oliver kauselma thorsten kloepfe9 november 2002 oliver kauselma thorsten kloepfer 9 november 2002 descriptive tagsphilip pocock offf 2001 offforonnarrative documentary virtual reality space public space memory interact language cinema javascript flash virtual video animatidescriptive tags philip pocock offf 2001 offforo philip pocock offf 2001 offforgtoto narrative documentary virtual reality space public space memory interact language cinema javascript flash virtual video animatinarrative documentary virtual reality space public space memory interact language cinema javascript flash virtual video animation,"virtual, space, language, one, wormholes, life, take, narrative, kauselma, thorsten, november, pocock, offf, documentary, reality, public, memory, interact, cinema, javascript",Moving Images,Germany,DEU,Global North,Europe,Rhizome,2
9,https://artbase.rhizome.org/wiki/Q4311,Witness That Place,Patricia Lee,2007,2007,American,F,witness place locative media project explores interactivity series marked online mappings sitespecific locations indicating stories trauma public urban spaces working psychogeography city interest citys ability repair nigel thrift calls urban trauma nigel thrift malice aforethought cities natural history hatred p135 2005 underlines thinking behind piece notion urban trauma trauma general interpreted allow individual thus relative perceptions negative experience relationship placenin creating alternative geography city makes visible memories personal notions trauma ie broken hearts accidents assaults witness place explores tension modes storytelling witnessing njust one could argue story exists film painting poem interpretation beholder paradigm storyteller witness developed project therefore witnessing form testimony information also form gesture actioways witness placengo placenwitness place currently situated city toronto witness person views story website documents personal journey public space may document trajectory via digital photo video text message upload documents websitenshare storynwe stories sometimes painful traumatic sometimes stories take place public spaces sharing experience everyday passerby becomes witness creating framework stories trauma heard public respond hope repair spaces acknowledging history act witnessing location creates new association thus evolves narrative space would like share storynplease contactnpatricia lee pleeatcdnfilmcentredotcom ninfoatwitnessthatplacedotcompatricia le28 september 2007 witness place locative media project explores interactivity series marked online mappings sitespecific locations indicating stories trauma public urban spaces working psychogeography city interest citys ability repair nigel thrift calls urban trauma nigel thrift malice aforethought cities natural history hatred p135 2005 underlines thinking behind piece notion urban trauma trauma general interpreted allow individual thus relative perceptions negative experience relationship placenin creating alternative geography city makes visible memories personal notions trauma ie broken hearts accidents assaults witness place explores tension modes storytelling witnessing njust one could argue story exists film painting poem interpretation beholder paradigm storyteller witness developed project therefore witnessing form testimony information also form gesture actioways witness placengo placenwitness place currently situated city toronto witness person views story website documents personal journey public space may document trajectory via digital photo video text message upload documents websitenshare storynwe stories sometimes painful traumatic sometimes stories take place public spaces sharing experience everyday passerby becomes witness creating framework stories trauma heard public respond hope repair spaces acknowledging history act witnessing location creates new association thus evolves narrative space would like share storynplease contactnpatricia lee pleeatcdnfilmcentredotcom ninfoatwitnessthatplacedotcompatricia le28 september 2007 witness place locative media project explores interactivity series marked online mappings sitespecific locations indicating stories trauma public urban spaces working psychogeography city interest citys ability repair nigel thrift calls urban trauma nigel thrift malice aforethought cities natural history hatred p135 2005 underlines thinking behind piece notion urban trauma trauma general interpreted allow individual thus relative perceptions negative experience relationship placenin creating alternative geography city makes visible memories personal notions trauma ie broken hearts accidents assaults witness place explores tension modes storytelling witnessing njust one could argue story exists film painting poem interpretation beholder paradigm storyteller witness developed project therefore witnessing form testimony information also form gesture actioways witness placengo placenwitness place currently situated city toronto witness person views story website documents personal journey public space may document trajectory via digital photo video text message upload documents websitenshare storynwe stories sometimes painful traumatic sometimes stories take place public spaces sharing experience everyday passerby becomes witness creating framework stories trauma heard public respond hope repair spaces acknowledging history act witnessing location creates new association thus evolves narrative space would like share storynplease contactnpatricia lee pleeatcdnfilmcentredotcom ninfoatwitnessthatplacedotcom patricia le28 september 2007 patricia lee 28 september 2007,"witness, trauma, place, stories, public, urban, spaces, city, witnessing, project, explores, repair, nigel, thrift, history, thus, experience, creating, personal, story",Moving Images,United States,USA,Global North,North America,Rhizome,1
