,Title,Artist,ConstituentID,dateCreated,Medium,Department,dateAcquired,URL,ThumbnailURL,Gender,Nationality
13194,Double page plate (folios 3 verso and 4) from ZAVJET ZA EPETION,Edo Murtic,4187,1984,,Drawings & Prints,1984,,,M,Yugoslav
13195,Zavjet za Epetion,Edo Murtic,4187,1984,17 linoleum cuts (including folder),Drawings & Prints,1984,http://www.moma.org/collection/works/14348,,M,Yugoslav
13196,Plate (folio 22) from ZAVJET ZA EPETION,Edo Murtic,4187,1984,,Drawings & Prints,1984,,,M,Yugoslav
13197,Plate (folio 24) from ZAVJET ZA EPETION,Edo Murtic,4187,1984,,Drawings & Prints,1984,,,M,Yugoslav
13198,Plate (folio 26) from ZAVJET ZA EPETION,Edo Murtic,4187,1984,,Drawings & Prints,1984,,,M,Yugoslav
13199,Plate (folio 28) from ZAVJET ZA EPETION,Edo Murtic,4187,1984,,Drawings & Prints,1984,,,M,Yugoslav
13200,Plate (folio 30) from ZAVJET ZA EPETION,Edo Murtic,4187,1984,,Drawings & Prints,1984,,,M,Yugoslav
13201,Plate (folio 32) from ZAVJET ZA EPETION,Edo Murtic,4187,1984,,Drawings & Prints,1984,,,M,Yugoslav
13202,Plate (folio 34) from ZAVJET ZA EPETION,Edo Murtic,4187,1984,,Drawings & Prints,1984,,,M,Yugoslav
13203,Dust jacket (variant of double page plate) from ZAVJET ZA EPETION,Edo Murtic,4187,1984,,Drawings & Prints,1984,,,M,Yugoslav
13204,Plate (folio 6) from ZAVJET ZA EPETION,Edo Murtic,4187,1984,,Drawings & Prints,1984,,,M,Yugoslav
13205,Plate (folio 8) from ZAVJET ZA EPETION,Edo Murtic,4187,1984,,Drawings & Prints,1984,,,M,Yugoslav
13206,Plate (folio 10) from ZAVJET ZA EPETION,Edo Murtic,4187,1984,,Drawings & Prints,1984,,,M,Yugoslav
13207,Plate (folio 12) from ZAVJET ZA EPETION,Edo Murtic,4187,1984,,Drawings & Prints,1984,,,M,Yugoslav
13208,Plate (folio 14) from ZAVJET ZA EPETION,Edo Murtic,4187,1984,,Drawings & Prints,1984,,,M,Yugoslav
13209,Plate (folio 16) from ZAVJET ZA EPETION,Edo Murtic,4187,1984,,Drawings & Prints,1984,,,M,Yugoslav
13210,Plate (folio 18) from ZAVJET ZA EPETION,Edo Murtic,4187,1984,,Drawings & Prints,1984,,,M,Yugoslav
13211,Plate (folio 20) from ZAVJET ZA EPETION,Edo Murtic,4187,1984,,Drawings & Prints,1984,,,M,Yugoslav
80958,SSS,"Marina Abramović, Charles Atlas","26439, 31211",1989,"Video (color, sound)",Media and Performance,2000,http://www.moma.org/collection/works/88933,http://www.moma.org/media/W1siZiIsIjcyNDcwIl0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=a16e1fc17a9fd1fb,"F, M","Yugoslav, American"
93331,City of Angels,"Marina Abramović, Ulay","26439, 34797",1983,"Video (color, sound)",Media and Performance,1984,http://www.moma.org/collection/works/118235,http://www.moma.org/media/W1siZiIsIjE1MTY0MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=dd025eb0cda56e99,"F, M","Yugoslav, German"
94599,My Mother Makes Soup Noodles...My Father Cuts a Simple Thread,Dimitrije Martinovic,35482,1983,"Video (color, sound)",Media and Performance,1984,http://www.moma.org/collection/works/120165,,M,Yugoslav
96429,Carrying the Skeleton,Marina Abramović,26439,2008,Chromogenic color print,Media and Performance,2009,http://www.moma.org/collection/works/126805,http://www.moma.org/media/W1siZiIsIjE5NTUyMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=f686c0bb7888fcc8,F,Yugoslav
104650,Spirit Cooking,Marina Abramović,26439,1996,Portfolio of eight etchings (four with aquatint and one with gold leaf) and four aquatints with chine collé; and 25 letterpress prints,Drawings & Prints,2011,http://www.moma.org/collection/works/143945,http://www.moma.org/media/W1siZiIsIjIxNDMxMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=d0af21eb8cb59efb,F,Yugoslav
105766,Untitled from Spirit Cooking,Marina Abramović,26439,1996,Letterpress from a portfolio of eight etchings (four with aquatint and one with gold leaf) and four aquatints with chine collé; and 25 letterpress prints,Drawings & Prints,2011,http://www.moma.org/collection/works/146727,http://www.moma.org/media/W1siZiIsIjIxNDMxNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=bee3ff04d9f50a93,F,Yugoslav
105767,Untitled from Spirit Cooking,Marina Abramović,26439,1996,Letterpress from a portfolio of eight etchings (four with aquatint and one with gold leaf) and four aquatints with chine collé; and 25 letterpress prints,Drawings & Prints,2011,http://www.moma.org/collection/works/146728,http://www.moma.org/media/W1siZiIsIjIxNDMxNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=fbdfa31edb4d3dfc,F,Yugoslav
105768,Untitled from Spirit Cooking,Marina Abramović,26439,1996,Letterpress from a portfolio of eight etchings (four with aquatint and one with gold leaf) and four aquatints with chine collé; and 25 letterpress prints,Drawings & Prints,2011,http://www.moma.org/collection/works/146729,http://www.moma.org/media/W1siZiIsIjIxNDMxNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=f2f58dd77ba01aaa,F,Yugoslav
105769,Untitled from Spirit Cooking,Marina Abramović,26439,1996,Etching and aquatint with chine collé from a portfolio of eight etchings (four with aquatint and one with gold leaf) and four aquatints with chine collé; and 25 letterpress prints,Drawings & Prints,2011,http://www.moma.org/collection/works/146730,http://www.moma.org/media/W1siZiIsIjIxNDMxNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=5e971edc4ec67a5e,F,Yugoslav
105770,Untitled from Spirit Cooking,Marina Abramović,26439,1996,Letterpress from a portfolio of eight etchings (four with aquatint and one with gold leaf) and four aquatints with chine collé; and 25 letterpress prints,Drawings & Prints,2011,http://www.moma.org/collection/works/146731,http://www.moma.org/media/W1siZiIsIjIxNDMxOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=8685a3d6eb77d6be,F,Yugoslav
105771,Untitled from Spirit Cooking,Marina Abramović,26439,1996,Letterpress from a portfolio of eight etchings (four with aquatint and one with gold leaf) and four aquatints with chine collé; and 25 letterpress prints,Drawings & Prints,2011,http://www.moma.org/collection/works/146732,http://www.moma.org/media/W1siZiIsIjIxNDMxOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=bd840117f2649306,F,Yugoslav
105772,Untitled from Spirit Cooking,Marina Abramović,26439,1996,Etching with chine collé from a portfolio of eight etchings (four with aquatint and one with gold leaf) and four aquatints with chine collé; and 25 letterpress prints,Drawings & Prints,2011,http://www.moma.org/collection/works/146733,http://www.moma.org/media/W1siZiIsIjIzMzU2MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=fea72f8f3c895aaa,F,Yugoslav
